country,continent,total_confirmed,total_deaths,total_recovered,active_cases,serious_or_critical,total_cases_per_1m_population,total_deaths_per_1m_population,total_tests,total_tests_per_1m_population,population
Taiwan,Asia,16637,848,15631,158,0,697,36,8481087,355185,23877915
Tajikistan,Asia,17095,124,16966,5,0,1737,13,0,0,9840857
Tanzania,Africa,26270,730,,0,7,423,12,0,0,62140687
Thailand,Asia,2130641,20878,2037000,72763,1369,30417,298,14913135,212898,70048383
Timor Leste,Asia,19822,122,19697,3,0,14640,90,169501,125185,1354003
Togo,Africa,26282,243,25918,121,0,3073,28,582161,68063,8553323
Tonga,Australia/Oceania,1,,1,0,0,9,0,0,0,107393
Trinidad And Tobago,North America,72775,2198,59363,11214,22,51763,1563,448053,318691,1405915
Tunisia,Africa,717908,25381,691299,1228,58,59856,2116,3184853,265539,11993896
Turkey,Asia,8861386,77417,8392971,390998,1405,103490,904,108745783,1270019,85625303
Turks And Caicos Islands,North America,3103,25,3049,29,0,78639,634,94789,2402215,39459
Uganda,Africa,127584,3253,97579,26752,115,2670,68,1972975,41290,47783381
UK,Europe,10379647,145424,9156066,1078157,895,151768,2126,366108215,5353111,68391673
Ukraine,Europe,3477649,87566,3018620,371463,177,80202,2019,16009215,369208,43360950
United Arab Emirates,Asia,742163,2148,737103,2912,0,73776,214,101872653,10126765,10059743
Uruguay,South America,400275,6132,391880,2263,16,114666,1757,4129007,1182824,3490803
USA,North America,49741464,806651,39397681,9537132,13485,149036,2417,757810159,2270560,333754810
Uzbekistan,Asia,193893,1413,190503,1977,23,5677,41,1377915,40341,34156404
Vanuatu,Australia/Oceania,6,1,3,2,0,19,3,23000,72486,317303
Venezuela,South America,433208,5170,420436,7602,681,15296,183,3359014,118602,28321635
Viet Nam,Asia,1266288,25658,1005310,235320,6600,12845,260,68989197,699829,98580073
Wallis And Futuna Islands,Australia/Oceania,445,7,438,0,0,40602,639,20508,1871168,10960
Western Sahara,Africa,10,1,8,1,0,16,2,0,0,618121
Yemen,Asia,10020,1952,6902,1166,23,326,63,265253,8624,30755787
Zambia,Africa,210262,3667,206443,152,6,11001,192,2737800,143249,19112199
Zimbabwe,Africa,136379,4707,128829,2843,12,8990,310,1607765,105987,15169450
